"","chromosome","window","bumps"
"1",14,1,21
"2",14,2,19
"3",14,3,19
"4",14,4,20
"5",14,5,11
"6",14,6,21
"7",14,7,18
"8",14,8,9
"9",14,9,20
"10",14,10,18
"11",14,11,14
"12",14,12,19
"13",14,13,17
"14",14,14,21
"15",14,15,15
"16",14,16,16
"17",14,17,14
"18",14,18,16
"19",14,19,12
"20",14,20,18
"21",14,21,21
"22",14,22,21
"23",14,23,18
"24",14,24,15
"25",14,25,21
"26",14,26,19
"27",14,27,15
"28",14,28,16
"29",14,29,14
"30",14,30,14
"31",14,31,24
"32",14,32,14
"33",14,33,14
"34",14,34,21
"35",14,35,16
"36",14,36,13
"37",14,37,18
"38",14,38,16
"39",14,39,17
"40",14,40,19
"41",14,41,21
"42",14,42,15
"43",14,43,16
"44",14,44,14
"45",14,45,22
"46",14,46,18
"47",14,47,17
"48",14,48,15
"49",14,49,19
"50",14,50,10
"51",14,51,18
"52",14,52,20
"53",14,53,17
"54",14,54,21
"55",14,55,17
"56",14,56,19
"57",14,57,17
"58",14,58,23
"59",14,59,13
"60",14,60,19
"61",14,61,16
"62",14,62,23
"63",14,63,13
"64",14,64,20
"65",14,65,10
"66",14,66,17
"67",14,67,15
"68",14,68,19
"69",14,69,18
"70",14,70,26
"71",14,71,13
"72",14,72,22
"73",14,73,19
"74",14,74,20
"75",14,75,23
"76",14,76,12
"77",14,77,27
"78",14,78,17
"79",14,79,17
"80",14,80,19
"81",14,81,15
"82",14,82,22
"83",14,83,16
"84",14,84,13
"85",14,85,13
"86",14,86,17
"87",14,87,25
"88",14,88,16
"89",14,89,16
"90",14,90,17
"91",14,91,19
"92",14,92,18
"93",14,93,21
"94",14,94,18
"95",14,95,16
"96",14,96,18
"97",14,97,20
"98",14,98,25
"99",14,99,15
"100",14,100,16
"101",14,101,13
"102",14,102,15
"103",14,103,14
"104",14,104,18
"105",14,105,17
"106",14,106,23
"107",14,107,18
"108",14,108,13
"109",14,109,22
"110",14,110,13
"111",14,111,14
"112",14,112,14
"113",14,113,22
"114",14,114,18
"115",14,115,12
"116",14,116,17
"117",14,117,14
