"","chromosome","window","bumps"
"1",18,1,20
"2",18,2,17
"3",18,3,18
"4",18,4,20
"5",18,5,16
"6",18,6,18
"7",18,7,18
"8",18,8,25
"9",18,9,16
"10",18,10,17
"11",18,11,16
"12",18,12,13
"13",18,13,13
"14",18,14,14
"15",18,15,17
"16",18,16,11
"17",18,17,15
"18",18,18,26
"19",18,19,15
"20",18,20,21
"21",18,21,16
"22",18,22,15
"23",18,23,21
"24",18,24,16
"25",18,25,8
"26",18,26,19
"27",18,27,22
"28",18,28,18
"29",18,29,20
"30",18,30,15
"31",18,31,17
"32",18,32,15
"33",18,33,24
"34",18,34,15
"35",18,35,17
"36",18,36,17
"37",18,37,16
"38",18,38,17
"39",18,39,17
"40",18,40,21
"41",18,41,18
"42",18,42,16
"43",18,43,13
"44",18,44,15
"45",18,45,17
"46",18,46,14
