"","chromosome","window","bumps"
"1",1,1,19
"2",1,2,16
"3",1,3,17
"4",1,4,19
"5",1,5,18
"6",1,6,15
"7",1,7,16
"8",1,8,11
"9",1,9,12
"10",1,10,19
"11",1,11,19
"12",1,12,16
"13",1,13,20
"14",1,14,19
"15",1,15,14
"16",1,16,20
"17",1,17,19
"18",1,18,17
"19",1,19,21
"20",1,20,17
"21",1,21,20
"22",1,22,17
"23",1,23,16
"24",1,24,22
"25",1,25,22
"26",1,26,14
"27",1,27,21
"28",1,28,12
"29",1,29,21
"30",1,30,18
"31",1,31,17
"32",1,32,22
"33",1,33,20
"34",1,34,23
"35",1,35,16
"36",1,36,23
"37",1,37,21
"38",1,38,14
"39",1,39,14
"40",1,40,22
"41",1,41,16
"42",1,42,14
"43",1,43,20
"44",1,44,22
"45",1,45,21
"46",1,46,17
"47",1,47,20
"48",1,48,15
"49",1,49,15
"50",1,50,18
"51",1,51,13
"52",1,52,17
"53",1,53,13
"54",1,54,22
"55",1,55,15
"56",1,56,16
"57",1,57,20
"58",1,58,16
"59",1,59,21
"60",1,60,15
"61",1,61,15
"62",1,62,11
"63",1,63,17
"64",1,64,19
"65",1,65,16
"66",1,66,23
"67",1,67,21
"68",1,68,15
"69",1,69,21
"70",1,70,16
"71",1,71,24
"72",1,72,15
"73",1,73,17
"74",1,74,10
"75",1,75,13
"76",1,76,13
"77",1,77,18
"78",1,78,17
"79",1,79,13
"80",1,80,22
"81",1,81,19
"82",1,82,15
"83",1,83,18
"84",1,84,16
"85",1,85,22
"86",1,86,21
"87",1,87,13
"88",1,88,17
"89",1,89,16
"90",1,90,16
"91",1,91,18
"92",1,92,16
"93",1,93,16
"94",1,94,20
"95",1,95,19
"96",1,96,15
"97",1,97,15
"98",1,98,13
"99",1,99,13
"100",1,100,13
"101",1,101,16
"102",1,102,19
"103",1,103,15
"104",1,104,13
"105",1,105,18
"106",1,106,17
"107",1,107,15
"108",1,108,10
"109",1,109,20
"110",1,110,13
"111",1,111,15
"112",1,112,10
"113",1,113,16
"114",1,114,17
"115",1,115,21
"116",1,116,12
"117",1,117,19
"118",1,118,12
"119",1,119,24
"120",1,120,18
"121",1,121,14
"122",1,122,11
"123",1,123,9
"124",1,124,15
"125",1,125,15
"126",1,126,15
"127",1,127,22
"128",1,128,15
"129",1,129,17
"130",1,130,22
"131",1,131,18
"132",1,132,13
"133",1,133,10
"134",1,134,14
"135",1,135,19
"136",1,136,20
"137",1,137,18
"138",1,138,17
"139",1,139,16
"140",1,140,22
"141",1,141,15
"142",1,142,19
"143",1,143,18
"144",1,144,16
"145",1,145,19
"146",1,146,16
"147",1,147,20
"148",1,148,16
"149",1,149,10
"150",1,150,15
"151",1,151,13
"152",1,152,20
"153",1,153,21
"154",1,154,15
"155",1,155,17
"156",1,156,14
"157",1,157,19
"158",1,158,18
"159",1,159,14
"160",1,160,18
"161",1,161,14
"162",1,162,15
"163",1,163,9
"164",1,164,17
"165",1,165,12
"166",1,166,15
"167",1,167,15
"168",1,168,14
"169",1,169,17
"170",1,170,17
"171",1,171,12
"172",1,172,19
"173",1,173,21
"174",1,174,25
"175",1,175,21
"176",1,176,18
"177",1,177,15
"178",1,178,19
"179",1,179,16
"180",1,180,15
"181",1,181,16
"182",1,182,20
"183",1,183,19
"184",1,184,11
"185",1,185,12
"186",1,186,17
"187",1,187,19
"188",1,188,21
"189",1,189,11
"190",1,190,15
"191",1,191,18
"192",1,192,17
"193",1,193,21
"194",1,194,19
"195",1,195,21
"196",1,196,20
"197",1,197,15
"198",1,198,20
"199",1,199,13
"200",1,200,17
"201",1,201,19
"202",1,202,22
"203",1,203,24
"204",1,204,14
"205",1,205,18
"206",1,206,14
"207",1,207,16
"208",1,208,19
"209",1,209,24
"210",1,210,22
"211",1,211,15
"212",1,212,17
"213",1,213,15
"214",1,214,18
"215",1,215,17
"216",1,216,13
"217",1,217,16
"218",1,218,22
"219",1,219,20
"220",1,220,20
"221",1,221,20
"222",1,222,18
"223",1,223,19
"224",1,224,11
"225",1,225,22
"226",1,226,20
"227",1,227,14
"228",1,228,19
"229",1,229,22
"230",1,230,18
"231",1,231,16
"232",1,232,17
"233",1,233,24
"234",1,234,17
"235",1,235,15
"236",1,236,19
"237",1,237,18
"238",1,238,17
"239",1,239,22
"240",1,240,14
"241",1,241,23
"242",1,242,17
"243",1,243,17
"244",1,244,21
"245",1,245,11
"246",1,246,17
"247",1,247,23
"248",1,248,18
"249",1,249,20
"250",1,250,18
"251",1,251,20
"252",1,252,17
"253",1,253,13
"254",1,254,22
"255",1,255,10
"256",1,256,17
"257",1,257,19
"258",1,258,17
"259",1,259,21
"260",1,260,14
"261",1,261,13
"262",1,262,16
"263",1,263,15
"264",1,264,19
"265",1,265,24
"266",1,266,18
"267",1,267,16
"268",1,268,18
"269",1,269,14
"270",1,270,7
"271",1,271,14
"272",1,272,21
"273",1,273,20
"274",1,274,21
"275",1,275,16
"276",1,276,21
"277",1,277,17
"278",1,278,20
"279",1,279,18
"280",1,280,17
"281",1,281,14
"282",1,282,18
"283",1,283,13
"284",1,284,23
"285",1,285,13
"286",1,286,20
"287",1,287,15
"288",1,288,18
"289",1,289,17
"290",1,290,19
"291",1,291,15
"292",1,292,16
"293",1,293,17
"294",1,294,21
"295",1,295,16
"296",1,296,14
"297",1,297,17
"298",1,298,20
"299",1,299,19
"300",1,300,17
"301",1,301,18
"302",1,302,19
"303",1,303,21
"304",1,304,19
"305",1,305,15
"306",1,306,17
"307",1,307,17
"308",1,308,18
"309",1,309,14
"310",1,310,20
"311",1,311,20
"312",1,312,16
"313",1,313,15
"314",1,314,26
"315",1,315,18
"316",1,316,18
"317",1,317,15
"318",1,318,22
"319",1,319,20
"320",1,320,14
"321",1,321,19
"322",1,322,20
"323",1,323,13
"324",1,324,19
"325",1,325,17
"326",1,326,16
"327",1,327,17
"328",1,328,24
"329",1,329,16
"330",1,330,14
"331",1,331,15
"332",1,332,13
"333",1,333,14
"334",1,334,18
"335",1,335,24
"336",1,336,16
"337",1,337,14
"338",1,338,24
"339",1,339,15
"340",1,340,15
"341",1,341,13
"342",1,342,13
"343",1,343,14
"344",1,344,13
"345",1,345,16
"346",1,346,19
"347",1,347,17
"348",1,348,24
"349",1,349,7
"350",1,350,16
"351",1,351,15
"352",1,352,14
"353",1,353,16
"354",1,354,16
"355",1,355,25
"356",1,356,21
"357",1,357,18
"358",1,358,12
"359",1,359,20
"360",1,360,14
"361",1,361,18
"362",1,362,16
"363",1,363,17
"364",1,364,11
