"","chromosome","window","bumps"
"1",5,1,15
"2",5,2,19
"3",5,3,18
"4",5,4,17
"5",5,5,21
"6",5,6,13
"7",5,7,21
"8",5,8,21
"9",5,9,14
"10",5,10,16
"11",5,11,22
"12",5,12,21
"13",5,13,22
"14",5,14,13
"15",5,15,15
"16",5,16,18
"17",5,17,21
"18",5,18,16
"19",5,19,20
"20",5,20,27
"21",5,21,19
"22",5,22,16
"23",5,23,20
"24",5,24,16
"25",5,25,24
"26",5,26,15
"27",5,27,18
"28",5,28,12
"29",5,29,15
"30",5,30,14
"31",5,31,16
"32",5,32,22
"33",5,33,18
"34",5,34,12
"35",5,35,21
"36",5,36,16
"37",5,37,18
"38",5,38,23
"39",5,39,15
"40",5,40,11
"41",5,41,17
"42",5,42,15
"43",5,43,17
"44",5,44,13
"45",5,45,20
"46",5,46,21
"47",5,47,11
"48",5,48,21
"49",5,49,18
"50",5,50,18
"51",5,51,13
"52",5,52,20
"53",5,53,15
"54",5,54,14
"55",5,55,20
"56",5,56,13
"57",5,57,21
"58",5,58,14
"59",5,59,13
"60",5,60,15
"61",5,61,19
"62",5,62,18
"63",5,63,22
"64",5,64,13
"65",5,65,16
"66",5,66,21
"67",5,67,19
"68",5,68,22
"69",5,69,21
"70",5,70,13
"71",5,71,14
"72",5,72,14
"73",5,73,17
"74",5,74,14
"75",5,75,15
"76",5,76,12
"77",5,77,16
"78",5,78,23
"79",5,79,16
"80",5,80,13
"81",5,81,19
"82",5,82,18
"83",5,83,16
"84",5,84,17
"85",5,85,16
"86",5,86,13
"87",5,87,17
"88",5,88,15
"89",5,89,13
"90",5,90,23
"91",5,91,13
"92",5,92,17
"93",5,93,16
"94",5,94,13
"95",5,95,22
"96",5,96,20
"97",5,97,21
"98",5,98,13
"99",5,99,18
"100",5,100,16
"101",5,101,21
"102",5,102,26
"103",5,103,16
"104",5,104,15
"105",5,105,20
"106",5,106,19
"107",5,107,9
"108",5,108,21
"109",5,109,20
"110",5,110,14
"111",5,111,16
"112",5,112,18
"113",5,113,16
"114",5,114,21
"115",5,115,19
"116",5,116,22
"117",5,117,17
"118",5,118,15
"119",5,119,17
"120",5,120,16
"121",5,121,13
"122",5,122,11
"123",5,123,19
"124",5,124,18
"125",5,125,16
"126",5,126,12
"127",5,127,20
"128",5,128,12
"129",5,129,17
"130",5,130,19
"131",5,131,15
"132",5,132,19
"133",5,133,15
"134",5,134,10
"135",5,135,22
"136",5,136,13
"137",5,137,19
"138",5,138,15
"139",5,139,16
"140",5,140,16
"141",5,141,19
"142",5,142,16
"143",5,143,15
"144",5,144,12
"145",5,145,17
"146",5,146,19
"147",5,147,17
"148",5,148,22
"149",5,149,16
"150",5,150,15
"151",5,151,16
"152",5,152,19
"153",5,153,18
"154",5,154,22
"155",5,155,15
"156",5,156,20
"157",5,157,20
"158",5,158,20
"159",5,159,17
"160",5,160,23
"161",5,161,16
"162",5,162,21
"163",5,163,23
"164",5,164,20
"165",5,165,19
"166",5,166,19
"167",5,167,20
"168",5,168,14
"169",5,169,11
"170",5,170,16
"171",5,171,20
"172",5,172,14
"173",5,173,20
"174",5,174,21
"175",5,175,21
"176",5,176,15
"177",5,177,17
"178",5,178,25
"179",5,179,14
"180",5,180,20
"181",5,181,24
"182",5,182,18
"183",5,183,13
"184",5,184,18
"185",5,185,21
"186",5,186,23
"187",5,187,18
"188",5,188,4
