"","chromosome","window","bumps"
"1",17,1,19
"2",17,2,17
"3",17,3,17
"4",17,4,21
"5",17,5,13
"6",17,6,13
"7",17,7,15
"8",17,8,15
"9",17,9,14
"10",17,10,17
"11",17,11,21
"12",17,12,19
"13",17,13,17
"14",17,14,8
"15",17,15,14
"16",17,16,17
"17",17,17,13
"18",17,18,19
"19",17,19,18
"20",17,20,18
"21",17,21,9
"22",17,22,14
"23",17,23,21
"24",17,24,16
"25",17,25,15
"26",17,26,14
"27",17,27,23
"28",17,28,15
"29",17,29,15
"30",17,30,20
"31",17,31,15
"32",17,32,18
"33",17,33,10
"34",17,34,18
"35",17,35,23
"36",17,36,13
"37",17,37,19
"38",17,38,15
"39",17,39,18
"40",17,40,23
"41",17,41,16
"42",17,42,15
"43",17,43,14
"44",17,44,17
"45",17,45,12
"46",17,46,16
"47",17,47,13
"48",17,48,23
"49",17,49,13
"50",17,50,17
"51",17,51,21
"52",17,52,18
"53",17,53,15
"54",17,54,11
"55",17,55,14
"56",17,56,15
"57",17,57,23
"58",17,58,18
"59",17,59,17
"60",17,60,14
"61",17,61,15
"62",17,62,13
"63",17,63,21
"64",17,64,25
"65",17,65,14
"66",17,66,16
"67",17,67,17
"68",17,68,17
"69",17,69,18
"70",17,70,18
"71",17,71,18
"72",17,72,22
"73",17,73,16
"74",17,74,19
"75",17,75,19
"76",17,76,22
"77",17,77,16
"78",17,78,21
"79",17,79,20
"80",17,80,22
"81",17,81,19
"82",17,82,11
"83",17,83,21
"84",17,84,18
"85",17,85,18
"86",17,86,15
"87",17,87,20
"88",17,88,15
"89",17,89,14
"90",17,90,13
"91",17,91,13
"92",17,92,14
"93",17,93,14
"94",17,94,22
"95",17,95,19
"96",17,96,17
"97",17,97,13
"98",17,98,14
"99",17,99,19
"100",17,100,15
"101",17,101,18
"102",17,102,17
"103",17,103,19
"104",17,104,16
"105",17,105,14
"106",17,106,21
"107",17,107,17
"108",17,108,12
"109",17,109,22
"110",17,110,22
"111",17,111,15
"112",17,112,19
"113",17,113,16
"114",17,114,21
"115",17,115,18
"116",17,116,18
"117",17,117,21
"118",17,118,21
"119",17,119,21
"120",17,120,13
"121",17,121,16
"122",17,122,21
"123",17,123,16
"124",17,124,22
"125",17,125,13
"126",17,126,14
"127",17,127,17
"128",17,128,16
"129",17,129,18
"130",17,130,16
"131",17,131,18
"132",17,132,20
"133",17,133,19
"134",17,134,15
"135",17,135,18
"136",17,136,30
"137",17,137,15
"138",17,138,11
"139",17,139,21
"140",17,140,24
"141",17,141,17
"142",17,142,17
"143",17,143,19
"144",17,144,18
"145",17,145,21
"146",17,146,17
"147",17,147,18
"148",17,148,19
"149",17,149,19
"150",17,150,9
"151",17,151,15
"152",17,152,19
"153",17,153,25
"154",17,154,14
"155",17,155,19
"156",17,156,16
"157",17,157,12
"158",17,158,20
"159",17,159,16
"160",17,160,24
"161",17,161,16
"162",17,162,18
"163",17,163,15
"164",17,164,22
"165",17,165,18
"166",17,166,15
"167",17,167,20
"168",17,168,14
"169",17,169,17
"170",17,170,15
"171",17,171,20
"172",17,172,13
"173",17,173,16
"174",17,174,14
"175",17,175,18
"176",17,176,21
"177",17,177,26
"178",17,178,20
"179",17,179,20
"180",17,180,22
"181",17,181,17
"182",17,182,17
"183",17,183,15
"184",17,184,14
"185",17,185,11
"186",17,186,19
"187",17,187,16
"188",17,188,16
"189",17,189,14
"190",17,190,25
"191",17,191,12
"192",17,192,24
"193",17,193,7
"194",17,194,13
"195",17,195,21
"196",17,196,16
"197",17,197,18
"198",17,198,15
"199",17,199,14
"200",17,200,15
"201",17,201,16
"202",17,202,18
"203",17,203,14
"204",17,204,17
"205",17,205,18
"206",17,206,15
"207",17,207,12
"208",17,208,17
"209",17,209,16
"210",17,210,13
"211",17,211,21
"212",17,212,18
"213",17,213,21
"214",17,214,17
"215",17,215,12
"216",17,216,15
"217",17,217,5
