"","chromosome","window","bumps"
"1",7,1,15
"2",7,2,16
"3",7,3,21
"4",7,4,23
"5",7,5,20
"6",7,6,19
"7",7,7,13
"8",7,8,29
"9",7,9,19
"10",7,10,16
"11",7,11,16
"12",7,12,14
"13",7,13,18
"14",7,14,12
"15",7,15,16
"16",7,16,21
"17",7,17,10
"18",7,18,15
"19",7,19,15
"20",7,20,24
"21",7,21,18
"22",7,22,12
"23",7,23,21
"24",7,24,21
"25",7,25,16
"26",7,26,19
"27",7,27,15
"28",7,28,15
"29",7,29,14
"30",7,30,19
"31",7,31,15
"32",7,32,13
"33",7,33,15
"34",7,34,14
"35",7,35,21
"36",7,36,15
"37",7,37,20
"38",7,38,15
"39",7,39,12
"40",7,40,15
"41",7,41,15
"42",7,42,13
"43",7,43,23
"44",7,44,19
"45",7,45,12
"46",7,46,19
"47",7,47,15
"48",7,48,14
"49",7,49,25
"50",7,50,16
"51",7,51,18
"52",7,52,17
"53",7,53,18
"54",7,54,15
"55",7,55,16
"56",7,56,22
"57",7,57,19
"58",7,58,10
"59",7,59,16
"60",7,60,18
"61",7,61,19
"62",7,62,22
"63",7,63,13
"64",7,64,23
"65",7,65,18
"66",7,66,14
"67",7,67,14
"68",7,68,13
"69",7,69,19
"70",7,70,14
"71",7,71,26
"72",7,72,19
"73",7,73,20
"74",7,74,16
"75",7,75,21
"76",7,76,17
"77",7,77,12
"78",7,78,11
"79",7,79,14
"80",7,80,15
"81",7,81,14
"82",7,82,15
"83",7,83,15
"84",7,84,22
"85",7,85,14
"86",7,86,16
"87",7,87,22
"88",7,88,23
"89",7,89,17
"90",7,90,19
"91",7,91,15
"92",7,92,20
"93",7,93,18
"94",7,94,14
"95",7,95,15
"96",7,96,16
"97",7,97,15
"98",7,98,14
"99",7,99,15
"100",7,100,13
"101",7,101,17
"102",7,102,18
"103",7,103,16
"104",7,104,15
"105",7,105,13
"106",7,106,16
"107",7,107,19
"108",7,108,14
"109",7,109,17
"110",7,110,16
"111",7,111,19
"112",7,112,17
"113",7,113,10
"114",7,114,9
"115",7,115,15
"116",7,116,12
"117",7,117,15
"118",7,118,16
"119",7,119,13
"120",7,120,18
"121",7,121,14
"122",7,122,15
"123",7,123,19
"124",7,124,18
"125",7,125,19
"126",7,126,19
"127",7,127,17
"128",7,128,18
"129",7,129,19
"130",7,130,15
"131",7,131,17
"132",7,132,14
"133",7,133,17
"134",7,134,22
"135",7,135,19
"136",7,136,17
"137",7,137,14
"138",7,138,12
"139",7,139,18
"140",7,140,18
"141",7,141,21
"142",7,142,12
"143",7,143,17
"144",7,144,17
"145",7,145,24
"146",7,146,20
"147",7,147,13
"148",7,148,19
"149",7,149,18
"150",7,150,17
"151",7,151,16
"152",7,152,14
"153",7,153,17
"154",7,154,19
"155",7,155,19
"156",7,156,21
"157",7,157,20
"158",7,158,14
"159",7,159,19
"160",7,160,16
"161",7,161,12
"162",7,162,15
"163",7,163,15
"164",7,164,13
"165",7,165,12
"166",7,166,19
"167",7,167,23
"168",7,168,18
"169",7,169,12
"170",7,170,18
"171",7,171,12
"172",7,172,18
"173",7,173,13
"174",7,174,21
"175",7,175,13
"176",7,176,13
"177",7,177,17
"178",7,178,23
"179",7,179,18
"180",7,180,16
"181",7,181,17
"182",7,182,17
"183",7,183,20
"184",7,184,15
"185",7,185,18
"186",7,186,12
"187",7,187,13
"188",7,188,19
"189",7,189,13
"190",7,190,18
"191",7,191,16
"192",7,192,20
"193",7,193,18
"194",7,194,9
"195",7,195,16
"196",7,196,17
"197",7,197,17
"198",7,198,17
"199",7,199,21
"200",7,200,16
"201",7,201,16
"202",7,202,15
"203",7,203,19
"204",7,204,20
"205",7,205,20
"206",7,206,21
"207",7,207,19
"208",7,208,18
"209",7,209,16
"210",7,210,16
"211",7,211,15
"212",7,212,16
"213",7,213,11
"214",7,214,15
"215",7,215,13
"216",7,216,14
"217",7,217,15
"218",7,218,25
"219",7,219,19
"220",7,220,18
"221",7,221,12
"222",7,222,21
"223",7,223,21
"224",7,224,16
"225",7,225,9
"226",7,226,18
"227",7,227,19
"228",7,228,24
"229",7,229,20
"230",7,230,10
"231",7,231,17
"232",7,232,14
