"","chromosome","window","bumps"
"1",8,1,14
"2",8,2,18
"3",8,3,11
"4",8,4,17
"5",8,5,13
"6",8,6,23
"7",8,7,20
"8",8,8,13
"9",8,9,22
"10",8,10,16
"11",8,11,24
"12",8,12,10
"13",8,13,14
"14",8,14,20
"15",8,15,21
"16",8,16,18
"17",8,17,12
"18",8,18,13
"19",8,19,19
"20",8,20,21
"21",8,21,20
"22",8,22,17
"23",8,23,25
"24",8,24,13
"25",8,25,21
"26",8,26,15
"27",8,27,17
"28",8,28,19
"29",8,29,16
"30",8,30,12
"31",8,31,15
"32",8,32,19
"33",8,33,13
"34",8,34,24
"35",8,35,20
"36",8,36,23
"37",8,37,20
"38",8,38,15
"39",8,39,12
"40",8,40,17
"41",8,41,21
"42",8,42,14
"43",8,43,12
"44",8,44,13
"45",8,45,13
"46",8,46,17
"47",8,47,24
"48",8,48,20
"49",8,49,21
"50",8,50,19
"51",8,51,18
"52",8,52,13
"53",8,53,20
"54",8,54,15
"55",8,55,23
"56",8,56,17
"57",8,57,20
"58",8,58,17
"59",8,59,16
"60",8,60,19
"61",8,61,10
"62",8,62,11
"63",8,63,14
"64",8,64,22
"65",8,65,10
"66",8,66,17
"67",8,67,20
"68",8,68,18
"69",8,69,14
"70",8,70,16
"71",8,71,15
"72",8,72,19
"73",8,73,18
"74",8,74,19
"75",8,75,18
"76",8,76,19
"77",8,77,15
"78",8,78,22
"79",8,79,10
"80",8,80,18
"81",8,81,16
"82",8,82,24
"83",8,83,19
"84",8,84,19
"85",8,85,12
"86",8,86,14
"87",8,87,17
"88",8,88,22
"89",8,89,21
"90",8,90,15
"91",8,91,20
"92",8,92,22
"93",8,93,18
"94",8,94,15
"95",8,95,19
"96",8,96,17
"97",8,97,14
"98",8,98,14
"99",8,99,18
"100",8,100,19
"101",8,101,15
"102",8,102,14
"103",8,103,13
"104",8,104,20
"105",8,105,15
"106",8,106,16
"107",8,107,17
"108",8,108,23
"109",8,109,15
"110",8,110,18
"111",8,111,15
"112",8,112,18
"113",8,113,16
"114",8,114,16
"115",8,115,17
"116",8,116,18
"117",8,117,13
"118",8,118,19
"119",8,119,17
"120",8,120,17
"121",8,121,16
"122",8,122,16
"123",8,123,19
"124",8,124,13
"125",8,125,19
"126",8,126,14
"127",8,127,18
"128",8,128,17
"129",8,129,17
"130",8,130,15
"131",8,131,18
"132",8,132,14
"133",8,133,9
"134",8,134,9
"135",8,135,17
"136",8,136,19
"137",8,137,16
"138",8,138,13
"139",8,139,20
"140",8,140,21
"141",8,141,19
"142",8,142,22
"143",8,143,11
"144",8,144,12
"145",8,145,14
"146",8,146,15
"147",8,147,17
"148",8,148,13
"149",8,149,13
"150",8,150,22
"151",8,151,23
"152",8,152,12
"153",8,153,11
"154",8,154,16
"155",8,155,17
"156",8,156,19
"157",8,157,22
"158",8,158,20
"159",8,159,18
"160",8,160,20
"161",8,161,15
"162",8,162,15
