"","chromosome","window","bumps"
"1",20,1,16
"2",20,2,25
"3",20,3,21
"4",20,4,13
"5",20,5,12
"6",20,6,14
"7",20,7,11
"8",20,8,11
"9",20,9,13
"10",20,10,14
"11",20,11,11
"12",20,12,18
"13",20,13,14
"14",20,14,18
"15",20,15,15
"16",20,16,18
"17",20,17,21
"18",20,18,22
"19",20,19,17
"20",20,20,20
"21",20,21,30
"22",20,22,21
"23",20,23,9
"24",20,24,19
"25",20,25,15
"26",20,26,17
"27",20,27,23
"28",20,28,14
"29",20,29,12
"30",20,30,18
"31",20,31,15
"32",20,32,18
"33",20,33,22
"34",20,34,15
"35",20,35,19
"36",20,36,17
"37",20,37,20
"38",20,38,17
"39",20,39,14
"40",20,40,16
"41",20,41,11
"42",20,42,10
"43",20,43,21
"44",20,44,20
"45",20,45,23
"46",20,46,19
"47",20,47,19
"48",20,48,27
"49",20,49,17
"50",20,50,12
"51",20,51,18
"52",20,52,16
"53",20,53,13
"54",20,54,18
"55",20,55,20
"56",20,56,16
"57",20,57,18
"58",20,58,16
"59",20,59,16
"60",20,60,13
"61",20,61,16
"62",20,62,17
"63",20,63,20
"64",20,64,20
"65",20,65,22
"66",20,66,17
"67",20,67,18
"68",20,68,18
"69",20,69,17
"70",20,70,13
"71",20,71,16
"72",20,72,17
"73",20,73,12
"74",20,74,20
"75",20,75,14
"76",20,76,22
"77",20,77,20
"78",20,78,14
"79",20,79,21
"80",20,80,18
"81",20,81,0
