"","chromosome","window","bayesfactor"
"1",10,1,-2.97145617261549
"2",10,2,-4.76063067494357
"3",10,3,113.795307782823
"4",10,4,47.0128294085834
"5",10,5,3.21198224626585
"6",10,6,2.22195084432849
"7",10,7,-0.542280762660994
"8",10,8,48.8924648521667
"9",10,9,-2.75214173886468
"10",10,10,-2.66380823900892
"11",10,11,-10.7097438275264
"12",10,12,37.8583920269331
"13",10,13,32.992036624933
"14",10,14,111.30480048095
"15",10,15,111.658874206265
"16",10,16,-5.31256188301313
"17",10,17,66.1511878494179
"18",10,18,61.8478281813762
"19",10,19,-2.84505743037704
"20",10,20,-3.64742099368112
"21",10,21,56.5111592656854
"22",10,22,72.2290407900839
"23",10,23,47.6044711194988
"24",10,24,46.9915751707687
"25",10,25,-5.70356464853131
"26",10,26,9.9417369276722
"27",10,27,46.7790305773731
"28",10,28,22.0933152407263
"29",10,29,16.6722015400601
"30",10,30,42.500489757424
"31",10,31,91.1134620262911
"32",10,32,-0.681845178372555
"33",10,33,52.8261501982672
"34",10,34,70.6145206537458
"35",10,35,52.6873006864364
"36",10,36,-0.491248632709187
"37",10,37,97.8625503350556
"38",10,38,-4.39159079123789
"39",10,39,-3.38508574813562
"40",10,40,59.3716424257798
"41",10,41,1.34735340879183
"42",10,42,16.1267337267771
"43",10,43,44.5852913770403
"44",10,44,-4.99187076510577
"45",10,45,116.999305548252
"46",10,46,1.90934283923639
"47",10,47,87.3229709600824
"48",10,48,1.01410125902254
"49",10,49,-7.42270345823823
"50",10,50,79.2134784316631
"51",10,51,7.39161180603219
"52",10,52,-2.84509985140119
"53",10,53,63.1199382713708
"54",10,54,-5.33872134159554
"55",10,55,0.158008121145485
"56",10,56,68.2173427652443
"57",10,57,37.7549832963784
"58",10,58,13.6251627580518
"59",10,59,38.7240571562097
"60",10,60,199.792210366129
"61",10,61,72.1549129109632
"62",10,62,-8.1853609420038
"63",10,63,13.195490092863
"64",10,64,45.1090210324213
"65",10,65,1.29015636167605
"66",10,66,-5.1236131965029
"67",10,67,-0.498175694837528
"68",10,68,22.8669859310679
"69",10,69,38.2988105167708
"70",10,70,11.4080133324828
"71",10,71,-1.6158841514731
"72",10,72,2.49445746811426
"73",10,73,-4.37866969385067
"74",10,74,68.0330886133015
"75",10,75,66.7701748161678
"76",10,76,47.0089215939471
"77",10,77,39.0714223836968
"78",10,78,-1.47853422160915
"79",10,79,-1.54683982495158
"80",10,80,71.0850196649575
"81",10,81,-7.46714763688874
"82",10,82,4.96360017268955
"83",10,83,6.67628190247672
"84",10,84,68.8921432033765
"85",10,85,158.186848502992
"86",10,86,49.314407061343
"87",10,87,11.8464627719756
"88",10,88,74.2704934798019
"89",10,89,-4.88604080163435
"90",10,90,14.148128416853
"91",10,91,-0.316647471290366
"92",10,92,0.219431205901344
"93",10,93,-5.67574759948468
"94",10,94,74.7571510574356
"95",10,95,2.99341037876826
"96",10,96,-3.29898156651393
"97",10,97,51.154602059074
"98",10,98,64.0063804948964
"99",10,99,-2.60798795956993
"100",10,100,3.14873252675289
"101",10,101,126.759497782009
"102",10,102,114.971104595588
"103",10,103,34.1489977245487
"104",10,104,69.7629425439633
"105",10,105,111.411621597845
"106",10,106,46.7569776730272
"107",10,107,39.7021578570969
"108",10,108,74.6793417291105
"109",10,109,70.8086681526516
"110",10,110,73.9664370941272
"111",10,111,-0.760512482014178
"112",10,112,6.47971997784578
"113",10,113,-8.33518731946697
"114",10,114,0.147305535923806
"115",10,115,139.531343188923
"116",10,116,-10.2601865423208
"117",10,117,104.694347847791
"118",10,118,-1.41245929560853
"119",10,119,76.2360565844056
"120",10,120,12.2526499727756
"121",10,121,8.52397575748887
"122",10,122,9.55459842635452
"123",10,123,107.625909764382
"124",10,124,6.97017996606144
"125",10,125,6.18533126018269
"126",10,126,-0.084828439886337
"127",10,127,38.8463237158616
"128",10,128,-7.9695051497057
"129",10,129,111.620391309259
"130",10,130,-3.52436719821935
"131",10,131,-7.11691948896203
"132",10,132,21.7871928661016
"133",10,133,18.5824877556324
"134",10,134,-4.73546647840038
"135",10,135,0.050887452281529
"136",10,136,6.83497479675134
"137",10,137,29.4095358170138
"138",10,138,26.6864193558494
"139",10,139,-4.87879395438341
"140",10,140,32.0563118859039
"141",10,141,83.9004679635619
"142",10,142,151.848834132677
"143",10,143,43.7067606164723
"144",10,144,-1.82333378204032
"145",10,145,77.6351956380743
"146",10,146,-4.15989129131782
"147",10,147,39.6318133519399
"148",10,148,-2.33459840477292
"149",10,149,81.5653123981255
"150",10,150,194.90205189083
"151",10,151,-2.04138503209958
"152",10,152,73.6596530655464
"153",10,153,36.7913284748564
"154",10,154,59.8151121280364
"155",10,155,-1.78109137264374
"156",10,156,-1.56213275103585
"157",10,157,45.8343306954487
"158",10,158,5.67294209101669
"159",10,159,8.0947826281714
"160",10,160,112.871831938971
"161",10,161,31.684441534271
"162",10,162,10.2836714831066
"163",10,163,-6.30879133352005
"164",10,164,93.2754004706328
"165",10,165,30.629989245619
"166",10,166,39.625580233414
"167",10,167,13.183013421555
"168",10,168,103.536373862425
"169",10,169,60.5167874284296
"170",10,170,-1.05413781954547
"171",10,171,20.9814115499298
"172",10,172,-0.705449663798049
"173",10,173,-0.109737015709356
"174",10,174,0.613656194323994
"175",10,175,24.233295741057
"176",10,176,-7.35477466069119
"177",10,177,64.5498160996819
"178",10,178,-3.7070934716038
"179",10,179,2.16272736275073
"180",10,180,106.427820100856
"181",10,181,134.092959867334
"182",10,182,-4.21154155234598
"183",10,183,79.3076181358861
"184",10,184,28.0607198477501
"185",10,185,-1.94171658623122
"186",10,186,7.72622753410894
"187",10,187,51.8701873232455
"188",10,188,20.9586555352677
"189",10,189,105.701200963299
"190",10,190,9.23737861337671
