"","chromosome","window","bumps"
"1",4,1,16
"2",4,2,14
"3",4,3,21
"4",4,4,19
"5",4,5,9
"6",4,6,13
"7",4,7,22
"8",4,8,16
"9",4,9,23
"10",4,10,16
"11",4,11,14
"12",4,12,16
"13",4,13,21
"14",4,14,16
"15",4,15,11
"16",4,16,21
"17",4,17,17
"18",4,18,17
"19",4,19,23
"20",4,20,24
"21",4,21,19
"22",4,22,21
"23",4,23,24
"24",4,24,18
"25",4,25,15
"26",4,26,22
"27",4,27,18
"28",4,28,14
"29",4,29,15
"30",4,30,12
"31",4,31,15
"32",4,32,18
"33",4,33,18
"34",4,34,18
"35",4,35,15
"36",4,36,24
"37",4,37,16
"38",4,38,10
"39",4,39,19
"40",4,40,17
"41",4,41,21
"42",4,42,15
"43",4,43,16
"44",4,44,11
"45",4,45,15
"46",4,46,17
"47",4,47,21
"48",4,48,15
"49",4,49,21
"50",4,50,15
"51",4,51,13
"52",4,52,13
"53",4,53,17
"54",4,54,20
"55",4,55,18
"56",4,56,13
"57",4,57,18
"58",4,58,19
"59",4,59,19
"60",4,60,16
"61",4,61,17
"62",4,62,13
"63",4,63,19
"64",4,64,17
"65",4,65,13
"66",4,66,18
"67",4,67,19
"68",4,68,17
"69",4,69,22
"70",4,70,16
"71",4,71,19
"72",4,72,19
"73",4,73,21
"74",4,74,16
"75",4,75,17
"76",4,76,15
"77",4,77,23
"78",4,78,16
"79",4,79,18
"80",4,80,14
"81",4,81,14
"82",4,82,14
"83",4,83,15
"84",4,84,16
"85",4,85,15
"86",4,86,14
"87",4,87,20
"88",4,88,11
"89",4,89,24
"90",4,90,14
"91",4,91,12
"92",4,92,20
"93",4,93,21
"94",4,94,22
"95",4,95,22
"96",4,96,14
"97",4,97,19
"98",4,98,15
"99",4,99,16
"100",4,100,19
"101",4,101,16
"102",4,102,17
"103",4,103,16
"104",4,104,16
"105",4,105,9
"106",4,106,24
"107",4,107,24
"108",4,108,17
"109",4,109,20
"110",4,110,20
"111",4,111,11
"112",4,112,18
"113",4,113,18
"114",4,114,19
"115",4,115,18
"116",4,116,20
"117",4,117,20
"118",4,118,21
"119",4,119,18
"120",4,120,13
"121",4,121,13
"122",4,122,21
"123",4,123,12
"124",4,124,22
"125",4,125,23
"126",4,126,17
"127",4,127,16
"128",4,128,19
"129",4,129,14
"130",4,130,16
"131",4,131,14
"132",4,132,15
"133",4,133,17
"134",4,134,19
"135",4,135,23
"136",4,136,16
"137",4,137,18
"138",4,138,18
"139",4,139,19
"140",4,140,17
"141",4,141,19
"142",4,142,14
"143",4,143,17
"144",4,144,19
"145",4,145,21
"146",4,146,12
"147",4,147,16
"148",4,148,19
"149",4,149,15
"150",4,150,20
"151",4,151,7
"152",4,152,16
"153",4,153,13
"154",4,154,16
"155",4,155,14
"156",4,156,20
"157",4,157,23
"158",4,158,8
