"","win1","win2","win3","win4","win5","win6","win7","win8","win9","win10"
"1",0,4,7,14,7,9,4,0,1,19
"2",0,4,8,14,9,4,5,0,1,13
"3",0,5,9,10,3,7,4,0,1,18
"4",0,4,9,9,5,6,6,0,1,18
"5",0,6,8,17,7,6,4,0,1,15
"6",0,3,8,9,6,7,4,0,1,18
"7",0,3,9,11,6,11,4,0,1,16
"8",0,4,5,12,6,6,4,1,1,19
"9",0,5,9,16,8,5,7,0,1,16
"10",0,5,11,12,7,7,5,0,1,21
"11",0,6,8,10,9,8,5,0,1,22
"12",0,5,7,8,5,6,5,0,1,15
"13",0,2,12,12,6,5,3,0,1,21
"14",0,4,8,10,11,3,5,0,1,14
"15",0,6,10,11,7,7,4,0,1,15
"16",0,4,11,9,8,8,6,0,1,14
"17",0,6,8,13,1,8,3,0,1,11
"18",0,5,8,9,3,5,4,0,1,24
"19",0,3,12,11,5,9,6,0,1,18
"20",0,4,8,8,5,9,6,0,1,16
"21",0,6,10,10,6,5,2,0,1,18
"22",0,3,9,11,5,6,4,0,1,20
"23",0,4,7,12,6,5,6,0,1,18
"24",0,4,8,10,8,6,6,0,1,18
"25",0,5,13,10,10,6,4,0,1,15
"26",0,6,13,14,5,6,6,0,1,8
"27",0,1,9,12,6,5,4,1,1,19
"28",0,6,10,11,6,5,5,0,1,16
"29",0,4,8,14,9,7,6,0,1,15
"30",0,5,13,11,7,10,5,0,1,17
"31",0,2,9,12,6,3,3,0,1,17
"32",0,4,10,9,7,2,4,0,1,14
"33",0,5,13,11,4,5,7,2,1,20
"34",0,4,9,7,9,7,5,0,1,18
"35",0,7,8,11,4,7,6,0,1,14
"36",0,3,8,12,4,6,8,0,1,14
"37",0,4,6,16,8,5,5,0,1,15
"38",0,3,12,10,9,7,6,1,1,16
"39",0,3,8,15,10,5,6,0,1,16
"40",0,4,10,13,8,11,5,0,1,13
"41",0,2,11,13,8,5,8,0,1,14
"42",0,4,12,11,9,6,5,0,1,13
"43",0,2,10,11,6,6,5,0,1,20
"44",0,1,8,12,8,7,5,0,1,19
"45",0,2,8,12,5,5,4,0,1,16
"46",0,2,12,14,7,8,6,0,1,11
"47",0,4,9,15,10,5,3,0,1,19
"48",0,4,7,14,3,3,4,0,1,14
"49",0,3,9,14,4,10,4,0,1,18
"50",0,4,8,14,5,6,4,0,1,13
"51",0,2,7,12,3,3,5,0,1,21
"52",0,3,11,11,8,5,4,0,1,18
"53",0,2,6,10,8,5,7,0,1,18
"54",0,4,6,10,10,12,6,0,1,13
"55",0,4,9,10,4,7,8,0,1,20
"56",0,1,6,10,3,6,6,0,1,15
"57",0,2,10,11,9,7,8,0,1,21
"58",0,4,6,13,4,9,6,0,1,13
"59",0,5,10,10,3,8,4,0,1,15
"60",0,4,12,10,6,6,8,0,1,21
"61",0,3,7,10,9,4,3,0,1,14
"62",0,4,9,10,8,11,6,0,1,16
"63",0,3,14,14,6,5,6,0,1,20
"64",0,3,10,8,10,8,7,0,1,18
"65",0,3,14,14,8,7,7,0,1,11
"66",0,5,11,11,8,6,5,0,1,16
"67",0,4,8,13,8,6,4,0,1,14
"68",0,4,6,9,4,2,5,0,1,17
"69",0,5,9,13,4,12,4,0,1,14
"70",0,5,7,9,7,7,5,0,1,15
"71",0,3,9,12,9,8,5,0,1,16
"72",0,4,10,11,6,5,4,0,1,15
"73",0,8,12,12,8,11,7,0,1,15
"74",0,5,8,15,6,4,5,0,1,24
"75",0,5,12,11,8,6,7,0,1,13
"76",0,6,11,10,5,5,4,0,1,21
"77",0,3,9,13,11,7,6,3,1,16
"78",0,4,8,13,3,7,5,0,1,19
"79",0,4,12,9,6,6,7,0,1,18
"80",0,3,10,14,4,7,5,0,1,15
"81",0,2,8,8,9,5,5,0,1,14
"82",0,2,9,11,7,6,7,0,1,14
"83",0,4,8,11,7,4,8,0,1,13
"84",0,4,9,12,4,4,5,0,1,17
"85",0,5,10,12,6,10,5,0,1,14
"86",0,2,11,11,4,5,3,0,1,8
"87",0,5,10,11,5,7,7,0,1,17
"88",0,2,6,11,5,9,3,0,1,17
"89",0,3,13,9,5,2,6,0,1,14
"90",0,3,15,6,11,7,5,0,1,19
"91",0,5,9,13,5,8,3,0,1,19
"92",0,6,9,11,10,5,4,0,1,13
"93",0,4,10,10,7,4,5,0,1,17
"94",0,2,10,7,7,7,4,0,1,16
"95",0,2,10,14,6,5,7,0,1,16
"96",0,3,9,9,6,4,7,0,1,13
"97",0,5,10,11,7,9,4,0,1,12
"98",0,2,7,14,10,7,6,0,1,16
"99",0,3,9,11,8,6,3,0,1,20
"100",0,2,10,13,5,8,7,0,1,21
