"","chromosome","window","bumps"
"1",21,1,15
"2",21,2,15
"3",21,3,17
"4",21,4,21
"5",21,5,23
"6",21,6,17
"7",21,7,15
"8",21,8,19
"9",21,9,14
"10",21,10,12
"11",21,11,17
"12",21,12,18
"13",21,13,15
"14",21,14,16
"15",21,15,19
"16",21,16,17
"17",21,17,20
"18",21,18,17
"19",21,19,13
"20",21,20,17
"21",21,21,10
"22",21,22,11
"23",21,23,20
"24",21,24,16
"25",21,25,13
"26",21,26,16
"27",21,27,14
"28",21,28,21
"29",21,29,15
"30",21,30,21
"31",21,31,16
"32",21,32,16
"33",21,33,15
