"","chromosome","window","bumps"
"1",15,1,15
"2",15,2,21
"3",15,3,18
"4",15,4,17
"5",15,5,17
"6",15,6,17
"7",15,7,16
"8",15,8,21
"9",15,9,12
"10",15,10,17
"11",15,11,13
"12",15,12,12
"13",15,13,13
"14",15,14,18
"15",15,15,19
"16",15,16,20
"17",15,17,16
"18",15,18,19
"19",15,19,15
"20",15,20,21
"21",15,21,16
"22",15,22,17
"23",15,23,17
"24",15,24,19
"25",15,25,22
"26",15,26,13
"27",15,27,16
"28",15,28,10
"29",15,29,16
"30",15,30,17
"31",15,31,21
"32",15,32,17
"33",15,33,14
"34",15,34,16
"35",15,35,20
"36",15,36,20
"37",15,37,12
"38",15,38,21
"39",15,39,20
"40",15,40,18
"41",15,41,20
"42",15,42,13
"43",15,43,18
"44",15,44,15
"45",15,45,17
"46",15,46,14
"47",15,47,14
"48",15,48,23
"49",15,49,26
"50",15,50,13
"51",15,51,21
"52",15,52,15
"53",15,53,15
"54",15,54,20
"55",15,55,17
"56",15,56,20
"57",15,57,17
"58",15,58,15
"59",15,59,20
"60",15,60,16
"61",15,61,16
"62",15,62,17
"63",15,63,18
"64",15,64,14
"65",15,65,10
"66",15,66,15
"67",15,67,16
"68",15,68,22
"69",15,69,17
"70",15,70,21
"71",15,71,21
"72",15,72,18
"73",15,73,13
"74",15,74,12
"75",15,75,14
"76",15,76,19
"77",15,77,15
"78",15,78,16
"79",15,79,12
"80",15,80,13
"81",15,81,13
"82",15,82,16
"83",15,83,15
"84",15,84,17
"85",15,85,17
"86",15,86,19
"87",15,87,13
"88",15,88,15
"89",15,89,20
"90",15,90,19
"91",15,91,22
"92",15,92,16
"93",15,93,18
"94",15,94,17
"95",15,95,20
"96",15,96,18
"97",15,97,17
"98",15,98,20
"99",15,99,16
"100",15,100,17
"101",15,101,15
"102",15,102,21
"103",15,103,22
"104",15,104,18
"105",15,105,21
"106",15,106,13
"107",15,107,10
"108",15,108,26
"109",15,109,20
"110",15,110,18
"111",15,111,21
"112",15,112,19
"113",15,113,18
"114",15,114,15
"115",15,115,13
"116",15,116,15
"117",15,117,16
"118",15,118,18
"119",15,119,5
