"","chromosome","window","bumps"
"1",11,1,16
"2",11,2,17
"3",11,3,16
"4",11,4,20
"5",11,5,19
"6",11,6,12
"7",11,7,21
"8",11,8,20
"9",11,9,18
"10",11,10,20
"11",11,11,16
"12",11,12,15
"13",11,13,16
"14",11,14,11
"15",11,15,17
"16",11,16,15
"17",11,17,15
"18",11,18,20
"19",11,19,18
"20",11,20,17
"21",11,21,19
"22",11,22,17
"23",11,23,22
"24",11,24,21
"25",11,25,19
"26",11,26,19
"27",11,27,17
"28",11,28,14
"29",11,29,14
"30",11,30,12
"31",11,31,19
"32",11,32,11
"33",11,33,17
"34",11,34,13
"35",11,35,23
"36",11,36,24
"37",11,37,17
"38",11,38,18
"39",11,39,16
"40",11,40,19
"41",11,41,20
"42",11,42,20
"43",11,43,24
"44",11,44,13
"45",11,45,14
"46",11,46,12
"47",11,47,14
"48",11,48,19
"49",11,49,14
"50",11,50,18
"51",11,51,19
"52",11,52,18
"53",11,53,20
"54",11,54,19
"55",11,55,13
"56",11,56,19
"57",11,57,16
"58",11,58,17
"59",11,59,13
"60",11,60,16
"61",11,61,21
"62",11,62,19
"63",11,63,18
"64",11,64,11
"65",11,65,21
"66",11,66,24
"67",11,67,18
"68",11,68,17
"69",11,69,21
"70",11,70,17
"71",11,71,18
"72",11,72,13
"73",11,73,13
"74",11,74,24
"75",11,75,18
"76",11,76,21
"77",11,77,20
"78",11,78,12
"79",11,79,18
"80",11,80,22
"81",11,81,18
"82",11,82,23
"83",11,83,16
"84",11,84,18
"85",11,85,19
"86",11,86,18
"87",11,87,16
"88",11,88,15
"89",11,89,12
"90",11,90,18
"91",11,91,21
"92",11,92,12
"93",11,93,22
"94",11,94,16
"95",11,95,18
"96",11,96,19
"97",11,97,17
"98",11,98,17
"99",11,99,18
"100",11,100,14
"101",11,101,18
"102",11,102,16
"103",11,103,17
"104",11,104,15
"105",11,105,19
"106",11,106,16
"107",11,107,19
"108",11,108,18
"109",11,109,21
"110",11,110,19
"111",11,111,17
"112",11,112,14
"113",11,113,19
"114",11,114,21
"115",11,115,17
"116",11,116,18
"117",11,117,12
"118",11,118,19
"119",11,119,19
"120",11,120,12
"121",11,121,19
"122",11,122,19
"123",11,123,18
"124",11,124,16
"125",11,125,26
"126",11,126,14
"127",11,127,14
"128",11,128,18
"129",11,129,18
"130",11,130,21
"131",11,131,23
"132",11,132,19
"133",11,133,14
"134",11,134,22
"135",11,135,16
"136",11,136,15
"137",11,137,20
"138",11,138,20
"139",11,139,16
"140",11,140,15
"141",11,141,20
"142",11,142,13
"143",11,143,14
"144",11,144,14
"145",11,145,18
"146",11,146,18
"147",11,147,21
"148",11,148,14
"149",11,149,9
"150",11,150,14
"151",11,151,13
"152",11,152,23
"153",11,153,21
"154",11,154,18
"155",11,155,20
"156",11,156,13
"157",11,157,17
"158",11,158,13
"159",11,159,18
"160",11,160,21
"161",11,161,11
"162",11,162,14
"163",11,163,14
"164",11,164,22
"165",11,165,17
"166",11,166,16
"167",11,167,17
"168",11,168,19
"169",11,169,16
"170",11,170,18
"171",11,171,17
"172",11,172,15
"173",11,173,17
"174",11,174,14
"175",11,175,20
"176",11,176,20
"177",11,177,12
"178",11,178,18
"179",11,179,23
"180",11,180,15
"181",11,181,19
"182",11,182,19
"183",11,183,21
"184",11,184,16
"185",11,185,19
"186",11,186,20
"187",11,187,18
"188",11,188,13
"189",11,189,25
"190",11,190,16
"191",11,191,16
"192",11,192,11
"193",11,193,13
"194",11,194,20
"195",11,195,14
"196",11,196,16
"197",11,197,19
"198",11,198,14
"199",11,199,17
"200",11,200,15
"201",11,201,14
"202",11,202,21
"203",11,203,16
"204",11,204,13
"205",11,205,22
"206",11,206,11
"207",11,207,17
"208",11,208,17
"209",11,209,18
"210",11,210,11
"211",11,211,10
"212",11,212,16
"213",11,213,15
"214",11,214,13
"215",11,215,16
"216",11,216,22
"217",11,217,20
"218",11,218,13
"219",11,219,18
"220",11,220,13
"221",11,221,15
"222",11,222,14
"223",11,223,14
