"","chromosome","window","bumps"
"1",2,1,17
"2",2,2,17
"3",2,3,21
"4",2,4,17
"5",2,5,16
"6",2,6,19
"7",2,7,12
"8",2,8,16
"9",2,9,10
"10",2,10,14
"11",2,11,19
"12",2,12,13
"13",2,13,17
"14",2,14,15
"15",2,15,18
"16",2,16,15
"17",2,17,17
"18",2,18,16
"19",2,19,19
"20",2,20,19
"21",2,21,17
"22",2,22,16
"23",2,23,18
"24",2,24,12
"25",2,25,15
"26",2,26,12
"27",2,27,20
"28",2,28,15
"29",2,29,15
"30",2,30,20
"31",2,31,13
"32",2,32,17
"33",2,33,12
"34",2,34,17
"35",2,35,16
"36",2,36,22
"37",2,37,19
"38",2,38,15
"39",2,39,23
"40",2,40,11
"41",2,41,21
"42",2,42,16
"43",2,43,15
"44",2,44,21
"45",2,45,13
"46",2,46,12
"47",2,47,20
"48",2,48,20
"49",2,49,12
"50",2,50,17
"51",2,51,12
"52",2,52,17
"53",2,53,13
"54",2,54,13
"55",2,55,14
"56",2,56,12
"57",2,57,12
"58",2,58,12
"59",2,59,24
"60",2,60,23
"61",2,61,17
"62",2,62,14
"63",2,63,14
"64",2,64,17
"65",2,65,14
"66",2,66,11
"67",2,67,16
"68",2,68,15
"69",2,69,19
"70",2,70,18
"71",2,71,13
"72",2,72,16
"73",2,73,11
"74",2,74,12
"75",2,75,18
"76",2,76,19
"77",2,77,18
"78",2,78,16
"79",2,79,14
"80",2,80,14
"81",2,81,14
"82",2,82,16
"83",2,83,20
"84",2,84,18
"85",2,85,24
"86",2,86,20
"87",2,87,22
"88",2,88,18
"89",2,89,22
"90",2,90,13
"91",2,91,19
"92",2,92,14
"93",2,93,15
"94",2,94,18
"95",2,95,14
"96",2,96,19
"97",2,97,14
"98",2,98,19
"99",2,99,23
"100",2,100,17
"101",2,101,21
"102",2,102,19
"103",2,103,17
"104",2,104,20
"105",2,105,16
"106",2,106,16
"107",2,107,12
"108",2,108,15
"109",2,109,15
"110",2,110,15
"111",2,111,14
"112",2,112,18
"113",2,113,15
"114",2,114,13
"115",2,115,15
"116",2,116,20
"117",2,117,22
"118",2,118,18
"119",2,119,17
"120",2,120,20
"121",2,121,11
"122",2,122,16
"123",2,123,22
"124",2,124,19
"125",2,125,21
"126",2,126,18
"127",2,127,16
"128",2,128,16
"129",2,129,18
"130",2,130,11
"131",2,131,16
"132",2,132,14
"133",2,133,18
"134",2,134,25
"135",2,135,15
"136",2,136,14
"137",2,137,16
"138",2,138,16
"139",2,139,16
"140",2,140,18
"141",2,141,20
"142",2,142,22
"143",2,143,21
"144",2,144,16
"145",2,145,16
"146",2,146,17
"147",2,147,17
"148",2,148,19
"149",2,149,10
"150",2,150,11
"151",2,151,12
"152",2,152,19
"153",2,153,18
"154",2,154,16
"155",2,155,20
"156",2,156,16
"157",2,157,22
"158",2,158,16
"159",2,159,14
"160",2,160,21
"161",2,161,24
"162",2,162,18
"163",2,163,22
"164",2,164,18
"165",2,165,17
"166",2,166,11
"167",2,167,17
"168",2,168,12
"169",2,169,18
"170",2,170,13
"171",2,171,16
"172",2,172,24
"173",2,173,17
"174",2,174,15
"175",2,175,16
"176",2,176,19
"177",2,177,21
"178",2,178,22
"179",2,179,18
"180",2,180,14
"181",2,181,19
"182",2,182,22
"183",2,183,17
"184",2,184,20
"185",2,185,15
"186",2,186,20
"187",2,187,18
"188",2,188,19
"189",2,189,20
"190",2,190,22
"191",2,191,15
"192",2,192,16
"193",2,193,15
"194",2,194,21
"195",2,195,16
"196",2,196,24
"197",2,197,17
"198",2,198,13
"199",2,199,26
"200",2,200,11
"201",2,201,22
"202",2,202,19
"203",2,203,12
"204",2,204,22
"205",2,205,21
"206",2,206,20
"207",2,207,20
"208",2,208,13
"209",2,209,17
"210",2,210,13
"211",2,211,18
"212",2,212,13
"213",2,213,17
"214",2,214,21
"215",2,215,21
"216",2,216,19
"217",2,217,13
"218",2,218,16
"219",2,219,20
"220",2,220,22
"221",2,221,18
"222",2,222,16
"223",2,223,12
"224",2,224,19
"225",2,225,14
"226",2,226,20
"227",2,227,16
"228",2,228,23
"229",2,229,16
"230",2,230,13
"231",2,231,24
"232",2,232,11
"233",2,233,19
"234",2,234,18
"235",2,235,17
"236",2,236,17
"237",2,237,22
"238",2,238,14
"239",2,239,16
"240",2,240,16
"241",2,241,19
"242",2,242,23
"243",2,243,23
"244",2,244,20
"245",2,245,12
"246",2,246,19
"247",2,247,19
"248",2,248,19
"249",2,249,21
"250",2,250,19
"251",2,251,15
"252",2,252,20
"253",2,253,14
"254",2,254,16
"255",2,255,19
"256",2,256,18
"257",2,257,18
"258",2,258,14
"259",2,259,21
"260",2,260,17
"261",2,261,20
"262",2,262,20
"263",2,263,18
"264",2,264,14
"265",2,265,19
"266",2,266,14
"267",2,267,14
"268",2,268,16
"269",2,269,16
"270",2,270,3
