"","chromosome","window","bumps"
"1",22,1,24
"2",22,2,14
"3",22,3,20
"4",22,4,17
"5",22,5,19
"6",22,6,21
"7",22,7,13
"8",22,8,22
"9",22,9,12
"10",22,10,21
"11",22,11,17
"12",22,12,21
"13",22,13,14
"14",22,14,22
"15",22,15,17
"16",22,16,16
"17",22,17,16
"18",22,18,21
"19",22,19,13
"20",22,20,13
"21",22,21,16
"22",22,22,17
"23",22,23,11
"24",22,24,22
"25",22,25,21
"26",22,26,17
"27",22,27,16
"28",22,28,18
"29",22,29,16
"30",22,30,20
"31",22,31,19
"32",22,32,16
"33",22,33,16
"34",22,34,21
"35",22,35,14
"36",22,36,13
"37",22,37,19
"38",22,38,16
"39",22,39,19
"40",22,40,13
"41",22,41,10
"42",22,42,14
"43",22,43,18
"44",22,44,22
"45",22,45,13
"46",22,46,19
"47",22,47,20
"48",22,48,16
"49",22,49,28
"50",22,50,17
"51",22,51,14
"52",22,52,22
"53",22,53,18
"54",22,54,20
"55",22,55,19
"56",22,56,21
"57",22,57,12
"58",22,58,17
"59",22,59,17
"60",22,60,19
"61",22,61,18
"62",22,62,16
"63",22,63,19
"64",22,64,22
"65",22,65,17
"66",22,66,10
