"","chromosome","window","bumps"
"1",12,1,14
"2",12,2,10
"3",12,3,15
"4",12,4,18
"5",12,5,14
"6",12,6,19
"7",12,7,19
"8",12,8,23
"9",12,9,16
"10",12,10,12
"11",12,11,19
"12",12,12,11
"13",12,13,16
"14",12,14,17
"15",12,15,18
"16",12,16,15
"17",12,17,16
"18",12,18,17
"19",12,19,19
"20",12,20,17
"21",12,21,24
"22",12,22,15
"23",12,23,22
"24",12,24,12
"25",12,25,13
"26",12,26,24
"27",12,27,17
"28",12,28,19
"29",12,29,22
"30",12,30,12
"31",12,31,18
"32",12,32,17
"33",12,33,17
"34",12,34,18
"35",12,35,18
"36",12,36,18
"37",12,37,9
"38",12,38,13
"39",12,39,17
"40",12,40,12
"41",12,41,15
"42",12,42,18
"43",12,43,16
"44",12,44,19
"45",12,45,18
"46",12,46,19
"47",12,47,11
"48",12,48,14
"49",12,49,17
"50",12,50,20
"51",12,51,12
"52",12,52,12
"53",12,53,12
"54",12,54,21
"55",12,55,20
"56",12,56,21
"57",12,57,19
"58",12,58,15
"59",12,59,15
"60",12,60,18
"61",12,61,23
"62",12,62,13
"63",12,63,20
"64",12,64,13
"65",12,65,14
"66",12,66,12
"67",12,67,14
"68",12,68,13
"69",12,69,14
"70",12,70,19
"71",12,71,20
"72",12,72,19
"73",12,73,11
"74",12,74,14
"75",12,75,18
"76",12,76,17
"77",12,77,14
"78",12,78,15
"79",12,79,24
"80",12,80,15
"81",12,81,23
"82",12,82,18
"83",12,83,18
"84",12,84,20
"85",12,85,19
"86",12,86,14
"87",12,87,15
"88",12,88,22
"89",12,89,19
"90",12,90,17
"91",12,91,21
"92",12,92,13
"93",12,93,14
"94",12,94,17
"95",12,95,17
"96",12,96,16
"97",12,97,16
"98",12,98,16
"99",12,99,19
"100",12,100,19
"101",12,101,14
"102",12,102,12
"103",12,103,17
"104",12,104,16
"105",12,105,14
"106",12,106,15
"107",12,107,18
"108",12,108,19
"109",12,109,15
"110",12,110,20
"111",12,111,14
"112",12,112,20
"113",12,113,14
"114",12,114,20
"115",12,115,13
"116",12,116,16
"117",12,117,20
"118",12,118,19
"119",12,119,21
"120",12,120,16
"121",12,121,15
"122",12,122,15
"123",12,123,20
"124",12,124,18
"125",12,125,12
"126",12,126,14
"127",12,127,16
"128",12,128,19
"129",12,129,20
"130",12,130,14
"131",12,131,19
"132",12,132,21
"133",12,133,23
"134",12,134,19
"135",12,135,19
"136",12,136,23
"137",12,137,16
"138",12,138,16
"139",12,139,18
"140",12,140,20
"141",12,141,16
"142",12,142,15
"143",12,143,16
"144",12,144,23
"145",12,145,23
"146",12,146,19
"147",12,147,19
"148",12,148,19
"149",12,149,18
"150",12,150,19
"151",12,151,16
"152",12,152,15
"153",12,153,22
"154",12,154,15
"155",12,155,18
"156",12,156,22
"157",12,157,15
"158",12,158,18
"159",12,159,13
"160",12,160,19
"161",12,161,19
"162",12,162,16
"163",12,163,20
"164",12,164,17
"165",12,165,16
"166",12,166,14
"167",12,167,16
"168",12,168,20
"169",12,169,15
"170",12,170,17
"171",12,171,12
"172",12,172,16
"173",12,173,17
"174",12,174,20
"175",12,175,16
"176",12,176,22
"177",12,177,16
"178",12,178,12
"179",12,179,14
"180",12,180,20
"181",12,181,19
"182",12,182,18
"183",12,183,24
"184",12,184,12
"185",12,185,15
"186",12,186,15
"187",12,187,20
"188",12,188,15
"189",12,189,13
"190",12,190,13
"191",12,191,3
