"","chromosome","window","bumps"
"1",6,1,15
"2",6,2,18
"3",6,3,15
"4",6,4,16
"5",6,5,22
"6",6,6,16
"7",6,7,17
"8",6,8,21
"9",6,9,14
"10",6,10,16
"11",6,11,14
"12",6,12,16
"13",6,13,22
"14",6,14,16
"15",6,15,12
"16",6,16,17
"17",6,17,14
"18",6,18,16
"19",6,19,16
"20",6,20,16
"21",6,21,17
"22",6,22,16
"23",6,23,19
"24",6,24,15
"25",6,25,17
"26",6,26,15
"27",6,27,9
"28",6,28,14
"29",6,29,12
"30",6,30,16
"31",6,31,18
"32",6,32,23
"33",6,33,17
"34",6,34,13
"35",6,35,19
"36",6,36,15
"37",6,37,14
"38",6,38,22
"39",6,39,16
"40",6,40,11
"41",6,41,23
"42",6,42,19
"43",6,43,14
"44",6,44,18
"45",6,45,17
"46",6,46,20
"47",6,47,13
"48",6,48,10
"49",6,49,18
"50",6,50,11
"51",6,51,16
"52",6,52,14
"53",6,53,11
"54",6,54,20
"55",6,55,18
"56",6,56,17
"57",6,57,21
"58",6,58,16
"59",6,59,15
"60",6,60,24
"61",6,61,15
"62",6,62,15
"63",6,63,18
"64",6,64,20
"65",6,65,11
"66",6,66,22
"67",6,67,22
"68",6,68,12
"69",6,69,22
"70",6,70,16
"71",6,71,23
"72",6,72,19
"73",6,73,12
"74",6,74,18
"75",6,75,20
"76",6,76,15
"77",6,77,19
"78",6,78,13
"79",6,79,17
"80",6,80,16
"81",6,81,14
"82",6,82,16
"83",6,83,14
"84",6,84,8
"85",6,85,16
"86",6,86,13
"87",6,87,15
"88",6,88,19
"89",6,89,18
"90",6,90,13
"91",6,91,19
"92",6,92,16
"93",6,93,20
"94",6,94,9
"95",6,95,21
"96",6,96,17
"97",6,97,17
"98",6,98,10
"99",6,99,19
"100",6,100,17
"101",6,101,14
"102",6,102,14
"103",6,103,22
"104",6,104,17
"105",6,105,11
"106",6,106,12
"107",6,107,15
"108",6,108,15
"109",6,109,14
"110",6,110,16
"111",6,111,22
"112",6,112,14
"113",6,113,22
"114",6,114,18
"115",6,115,17
"116",6,116,15
"117",6,117,10
"118",6,118,16
"119",6,119,19
"120",6,120,21
"121",6,121,17
"122",6,122,16
"123",6,123,15
"124",6,124,22
"125",6,125,25
"126",6,126,13
"127",6,127,16
"128",6,128,16
"129",6,129,18
"130",6,130,21
"131",6,131,15
"132",6,132,20
"133",6,133,16
"134",6,134,16
"135",6,135,14
"136",6,136,18
"137",6,137,18
"138",6,138,16
"139",6,139,24
"140",6,140,15
"141",6,141,21
"142",6,142,24
"143",6,143,19
"144",6,144,15
"145",6,145,11
"146",6,146,15
"147",6,147,14
"148",6,148,17
"149",6,149,18
"150",6,150,20
"151",6,151,20
"152",6,152,20
"153",6,153,12
"154",6,154,23
"155",6,155,15
"156",6,156,19
"157",6,157,20
"158",6,158,21
"159",6,159,18
"160",6,160,15
"161",6,161,18
"162",6,162,22
"163",6,163,17
"164",6,164,17
"165",6,165,16
"166",6,166,15
"167",6,167,16
"168",6,168,13
"169",6,169,17
"170",6,170,20
"171",6,171,18
"172",6,172,14
"173",6,173,17
"174",6,174,15
"175",6,175,14
"176",6,176,13
"177",6,177,20
"178",6,178,15
"179",6,179,19
"180",6,180,15
"181",6,181,22
"182",6,182,22
"183",6,183,15
"184",6,184,17
"185",6,185,15
"186",6,186,21
"187",6,187,16
"188",6,188,21
"189",6,189,17
"190",6,190,20
"191",6,191,13
"192",6,192,13
"193",6,193,18
"194",6,194,17
"195",6,195,21
"196",6,196,14
"197",6,197,20
"198",6,198,15
"199",6,199,20
"200",6,200,16
"201",6,201,14
"202",6,202,21
"203",6,203,21
"204",6,204,17
"205",6,205,12
"206",6,206,16
"207",6,207,16
"208",6,208,17
"209",6,209,20
"210",6,210,22
"211",6,211,22
"212",6,212,24
"213",6,213,13
"214",6,214,22
"215",6,215,22
"216",6,216,16
"217",6,217,18
"218",6,218,16
"219",6,219,20
"220",6,220,15
"221",6,221,18
"222",6,222,19
"223",6,223,19
"224",6,224,17
"225",6,225,19
"226",6,226,18
"227",6,227,16
"228",6,228,20
"229",6,229,17
"230",6,230,15
"231",6,231,15
"232",6,232,15
"233",6,233,15
"234",6,234,24
"235",6,235,16
"236",6,236,16
"237",6,237,16
"238",6,238,13
"239",6,239,13
"240",6,240,19
"241",6,241,17
"242",6,242,15
"243",6,243,19
"244",6,244,13
"245",6,245,16
"246",6,246,16
"247",6,247,24
"248",6,248,8
"249",6,249,13
"250",6,250,13
"251",6,251,18
"252",6,252,15
"253",6,253,13
"254",6,254,19
"255",6,255,13
"256",6,256,18
"257",6,257,15
"258",6,258,17
"259",6,259,23
"260",6,260,18
"261",6,261,19
"262",6,262,21
"263",6,263,18
"264",6,264,15
"265",6,265,19
"266",6,266,19
"267",6,267,16
"268",6,268,23
"269",6,269,15
"270",6,270,21
"271",6,271,15
"272",6,272,16
"273",6,273,17
"274",6,274,17
"275",6,275,23
"276",6,276,19
"277",6,277,7
"278",6,278,21
"279",6,279,15
"280",6,280,16
"281",6,281,21
"282",6,282,21
"283",6,283,13
"284",6,284,18
"285",6,285,14
