"","chromosome","window","bumps"
"1",13,1,13
"2",13,2,12
"3",13,3,19
"4",13,4,12
"5",13,5,17
"6",13,6,17
"7",13,7,19
"8",13,8,15
"9",13,9,20
"10",13,10,19
"11",13,11,20
"12",13,12,18
"13",13,13,20
"14",13,14,19
"15",13,15,19
"16",13,16,17
"17",13,17,23
"18",13,18,16
"19",13,19,20
"20",13,20,25
"21",13,21,24
"22",13,22,23
"23",13,23,18
"24",13,24,21
"25",13,25,16
"26",13,26,15
"27",13,27,20
"28",13,28,11
"29",13,29,12
"30",13,30,15
"31",13,31,21
"32",13,32,15
"33",13,33,10
"34",13,34,19
"35",13,35,15
"36",13,36,20
"37",13,37,24
"38",13,38,9
"39",13,39,25
"40",13,40,19
"41",13,41,18
"42",13,42,15
"43",13,43,13
"44",13,44,23
"45",13,45,17
"46",13,46,20
"47",13,47,20
"48",13,48,12
"49",13,49,21
"50",13,50,11
"51",13,51,17
"52",13,52,19
"53",13,53,22
"54",13,54,18
"55",13,55,17
"56",13,56,16
"57",13,57,21
"58",13,58,17
"59",13,59,17
"60",13,60,18
"61",13,61,18
"62",13,62,24
"63",13,63,17
"64",13,64,19
"65",13,65,17
"66",13,66,22
"67",13,67,17
"68",13,68,15
"69",13,69,22
"70",13,70,9
"71",13,71,18
"72",13,72,16
"73",13,73,17
"74",13,74,16
"75",13,75,16
"76",13,76,14
"77",13,77,13
"78",13,78,15
"79",13,79,16
"80",13,80,17
"81",13,81,18
"82",13,82,20
"83",13,83,16
"84",13,84,14
"85",13,85,16
"86",13,86,15
"87",13,87,21
"88",13,88,16
"89",13,89,24
"90",13,90,20
"91",13,91,21
"92",13,92,17
"93",13,93,16
"94",13,94,21
"95",13,95,11
"96",13,96,5
