"","chromosome","window","bumps"
"1",10,1,16
"2",10,2,15
"3",10,3,14
"4",10,4,17
"5",10,5,12
"6",10,6,13
"7",10,7,21
"8",10,8,17
"9",10,9,18
"10",10,10,7
"11",10,11,17
"12",10,12,20
"13",10,13,17
"14",10,14,18
"15",10,15,18
"16",10,16,14
"17",10,17,24
"18",10,18,17
"19",10,19,19
"20",10,20,20
"21",10,21,20
"22",10,22,14
"23",10,23,17
"24",10,24,13
"25",10,25,15
"26",10,26,15
"27",10,27,16
"28",10,28,13
"29",10,29,14
"30",10,30,15
"31",10,31,16
"32",10,32,27
"33",10,33,11
"34",10,34,14
"35",10,35,20
"36",10,36,14
"37",10,37,16
"38",10,38,17
"39",10,39,15
"40",10,40,31
"41",10,41,16
"42",10,42,12
"43",10,43,13
"44",10,44,23
"45",10,45,18
"46",10,46,20
"47",10,47,20
"48",10,48,19
"49",10,49,16
"50",10,50,20
"51",10,51,21
"52",10,52,17
"53",10,53,15
"54",10,54,16
"55",10,55,14
"56",10,56,17
"57",10,57,23
"58",10,58,19
"59",10,59,14
"60",10,60,15
"61",10,61,20
"62",10,62,18
"63",10,63,13
"64",10,64,14
"65",10,65,18
"66",10,66,12
"67",10,67,17
"68",10,68,14
"69",10,69,19
"70",10,70,16
"71",10,71,23
"72",10,72,24
"73",10,73,25
"74",10,74,15
"75",10,75,19
"76",10,76,16
"77",10,77,16
"78",10,78,18
"79",10,79,21
"80",10,80,15
"81",10,81,17
"82",10,82,16
"83",10,83,17
"84",10,84,21
"85",10,85,16
"86",10,86,18
"87",10,87,21
"88",10,88,18
"89",10,89,20
"90",10,90,20
"91",10,91,13
"92",10,92,16
"93",10,93,13
"94",10,94,18
"95",10,95,13
"96",10,96,20
"97",10,97,15
"98",10,98,21
"99",10,99,17
"100",10,100,21
"101",10,101,20
"102",10,102,16
"103",10,103,18
"104",10,104,20
"105",10,105,17
"106",10,106,21
"107",10,107,14
"108",10,108,12
"109",10,109,16
"110",10,110,19
"111",10,111,14
"112",10,112,17
"113",10,113,21
"114",10,114,18
"115",10,115,16
"116",10,116,16
"117",10,117,21
"118",10,118,18
"119",10,119,17
"120",10,120,16
"121",10,121,11
"122",10,122,17
"123",10,123,12
"124",10,124,15
"125",10,125,17
"126",10,126,20
"127",10,127,13
"128",10,128,21
"129",10,129,14
"130",10,130,24
"131",10,131,20
"132",10,132,23
"133",10,133,13
"134",10,134,24
"135",10,135,16
"136",10,136,24
"137",10,137,17
"138",10,138,17
"139",10,139,15
"140",10,140,16
"141",10,141,16
"142",10,142,16
"143",10,143,17
"144",10,144,18
"145",10,145,22
"146",10,146,19
"147",10,147,16
"148",10,148,18
"149",10,149,19
"150",10,150,13
"151",10,151,13
"152",10,152,21
"153",10,153,16
"154",10,154,15
"155",10,155,15
"156",10,156,17
"157",10,157,19
"158",10,158,16
"159",10,159,15
"160",10,160,12
"161",10,161,18
"162",10,162,20
"163",10,163,16
"164",10,164,18
"165",10,165,18
"166",10,166,18
"167",10,167,22
"168",10,168,23
"169",10,169,13
"170",10,170,15
"171",10,171,16
"172",10,172,13
"173",10,173,20
"174",10,174,11
"175",10,175,20
"176",10,176,19
"177",10,177,19
"178",10,178,20
"179",10,179,14
"180",10,180,16
"181",10,181,19
"182",10,182,14
"183",10,183,17
"184",10,184,18
"185",10,185,18
"186",10,186,11
"187",10,187,15
"188",10,188,22
"189",10,189,20
"190",10,190,8
