"","chromosome","window","bayesfactor"
"1",12,1,-3.61732997882905
"2",12,2,-3.8776775202773
"3",12,3,-12.2600120315912
"4",12,4,8.80628669391479
"5",12,5,1.27376745309505
"6",12,6,2.50131671904893
"7",12,7,65.7955155345515
"8",12,8,3.80338247695374
"9",12,9,71.706685049972
"10",12,10,39.7193517606042
"11",12,11,96.6447477240988
"12",12,12,-4.54215919258701
"13",12,13,112.958945412815
"14",12,14,-4.69661062836371
"15",12,15,-8.91876349108759
"16",12,16,23.1183122128477
"17",12,17,1.65166567615739
"18",12,18,-7.87038655980353
"19",12,19,86.9458729501002
"20",12,20,111.129591611227
"21",12,21,-0.789955590139073
"22",12,22,-7.44380350640796
"23",12,23,97.3612388298048
"24",12,24,83.9798282231797
"25",12,25,-5.99287585585859
"26",12,26,54.6930990753499
"27",12,27,5.5807029496097
"28",12,28,0.188759558634104
"29",12,29,-3.00620606195019
"30",12,30,33.8080705780505
"31",12,31,60.9970569311206
"32",12,32,18.2385805521745
"33",12,33,0.937203152543589
"34",12,34,-1.67336655108068
"35",12,35,87.8567728281811
"36",12,36,78.0980171235678
"37",12,37,10.0396637906366
"38",12,38,-2.05246866118358
"39",12,39,49.3126350778218
"40",12,40,-4.99561514417292
"41",12,41,9.80032435944037
"42",12,42,-0.311873524654004
"43",12,43,-1.14535048710252
"44",12,44,8.84325882342586
"45",12,45,1.92737686205896
"46",12,46,-8.40003019318499
"47",12,47,95.787974508098
"48",12,48,24.8992767328259
"49",12,49,-2.65084023117748
"50",12,50,15.0943240234166
"51",12,51,36.9366172138419
"52",12,52,63.8616745666752
"53",12,53,13.5958035230805
"54",12,54,96.1402487814764
"55",12,55,43.4585080483793
"56",12,56,18.8245238362148
"57",12,57,8.3643889040801
"58",12,58,70.5381637790485
"59",12,59,0.0788582197905043
"60",12,60,-3.88165573604749
"61",12,61,23.3841769482724
"62",12,62,3.29387113783548
"63",12,63,34.7890774709008
"64",12,64,33.8264569653634
"65",12,65,7.64041712269659
"66",12,66,1.34869973808247
"67",12,67,-8.39034298358609
"68",12,68,-4.17132369075995
"69",12,69,111.212585859492
"70",12,70,15.5268201117719
"71",12,71,65.7166708984769
"72",12,72,5.22877478274501
"73",12,73,49.7935117454931
"74",12,74,1.22326862285729
"75",12,75,10.5339158430093
"76",12,76,9.4813469784238
"77",12,77,85.479256463053
"78",12,78,55.5320776228439
"79",12,79,43.0005878490504
"80",12,80,-5.15947109038734
"81",12,81,-5.58354026570498
"82",12,82,-3.32656449525916
"83",12,83,8.08082136365488
"84",12,84,78.3112990207562
"85",12,85,-12.7639684890547
"86",12,86,92.2154627371609
"87",12,87,152.924514950378
"88",12,88,97.3622054985245
"89",12,89,59.2446151607351
"90",12,90,19.9545998239905
"91",12,91,145.542347642125
"92",12,92,79.3652542634112
"93",12,93,87.2184342887349
"94",12,94,-6.35608792282625
"95",12,95,-1.81256831178689
"96",12,96,-3.01279892258106
"97",12,97,122.534222739282
"98",12,98,-0.808310869235186
"99",12,99,-3.95679167295947
"100",12,100,60.7580839895783
"101",12,101,4.89135388183132
"102",12,102,107.791480823519
"103",12,103,-1.12526497230112
"104",12,104,156.711513828703
"105",12,105,-2.19797912739932
"106",12,106,32.4602774736866
"107",12,107,-1.98615561495069
"108",12,108,177.026929306223
"109",12,109,-5.32063839339014
"110",12,110,72.4624393115371
"111",12,111,101.328263261681
"112",12,112,34.6138829012206
"113",12,113,-7.43412713962073
"114",12,114,106.00854238727
"115",12,115,25.4588666215063
"116",12,116,60.9555493416104
"117",12,117,74.4575845795144
"118",12,118,20.1114822553329
"119",12,119,59.8386577474053
"120",12,120,13.4419140560466
"121",12,121,-4.27293934281937
"122",12,122,50.6711902785068
"123",12,123,-3.44691330467788
"124",12,124,73.443102757819
"125",12,125,-0.680297428079598
"126",12,126,-1.58695777192327
"127",12,127,134.318542925474
"128",12,128,31.817280907105
"129",12,129,46.8136113362765
"130",12,130,43.7248731751471
"131",12,131,-5.1154375479648
"132",12,132,85.6666013566015
"133",12,133,-2.12478242884936
"134",12,134,2.38125978733541
"135",12,135,-4.34095972310962
"136",12,136,-1.70458337537764
"137",12,137,-1.21246873161982
"138",12,138,42.7329467274664
"139",12,139,-2.19034815498992
"140",12,140,65.8098425584581
"141",12,141,13.3166704472554
"142",12,142,63.2168513009987
"143",12,143,-9.28157739736599
"144",12,144,17.3360944053326
"145",12,145,97.2544132935747
"146",12,146,99.6364912978783
"147",12,147,0.27858043389125
"148",12,148,28.6240104197735
"149",12,149,110.056190044444
"150",12,150,-0.567073247108738
"151",12,151,5.40413816458056
"152",12,152,-4.61734679379441
"153",12,153,74.2803674713391
"154",12,154,-4.34699845644786
"155",12,155,-7.48962749540254
"156",12,156,0.993563753724516
"157",12,157,41.5979488636699
"158",12,158,-3.03231053340181
"159",12,159,31.5680002940301
"160",12,160,19.7185284200954
"161",12,161,3.64403527482409
"162",12,162,107.532668365335
"163",12,163,97.4246479009951
"164",12,164,-3.62885508499994
"165",12,165,-2.45011384593442
"166",12,166,-8.68635200488757
"167",12,167,4.6013114871472
"168",12,168,4.94895815343472
"169",12,169,2.42739047133671
"170",12,170,35.4188457431846
"171",12,171,17.9023590043405
"172",12,172,-6.34750270473438
"173",12,173,24.1173142136731
"174",12,174,-3.7487896985777
"175",12,175,-0.775167542992847
"176",12,176,10.8127241614624
"177",12,177,51.4803465341867
"178",12,178,46.7378077569725
"179",12,179,-3.29914944433546
"180",12,180,27.7283956879331
"181",12,181,166.512082842656
"182",12,182,65.505060944053
"183",12,183,101.565541241121
