"","chromosome","window","bumps"
"1",9,1,24
"2",9,2,14
"3",9,3,15
"4",9,4,18
"5",9,5,18
"6",9,6,18
"7",9,7,14
"8",9,8,14
"9",9,9,15
"10",9,10,16
"11",9,11,21
"12",9,12,18
"13",9,13,16
"14",9,14,19
"15",9,15,20
"16",9,16,20
"17",9,17,18
"18",9,18,15
"19",9,19,13
"20",9,20,15
"21",9,21,19
"22",9,22,13
"23",9,23,15
"24",9,24,16
"25",9,25,20
"26",9,26,18
"27",9,27,13
"28",9,28,17
"29",9,29,24
"30",9,30,18
"31",9,31,14
"32",9,32,18
"33",9,33,19
"34",9,34,16
"35",9,35,21
"36",9,36,14
"37",9,37,16
"38",9,38,20
"39",9,39,15
"40",9,40,19
"41",9,41,17
"42",9,42,19
"43",9,43,23
"44",9,44,14
"45",9,45,10
"46",9,46,16
"47",9,47,16
"48",9,48,15
"49",9,49,19
"50",9,50,16
"51",9,51,12
"52",9,52,15
"53",9,53,16
"54",9,54,14
"55",9,55,20
"56",9,56,15
"57",9,57,18
"58",9,58,14
"59",9,59,19
"60",9,60,13
"61",9,61,16
"62",9,62,19
"63",9,63,13
"64",9,64,18
"65",9,65,15
"66",9,66,19
"67",9,67,18
"68",9,68,21
"69",9,69,15
"70",9,70,20
"71",9,71,16
"72",9,72,13
"73",9,73,15
"74",9,74,20
"75",9,75,15
"76",9,76,3
